(1 - p)*(1 - p0)^9,0,0,0,0,0,0,0
p*(1 - p0)^8*(1 - p1) + 6*(1 - p)*(1 - p0)^7*p0*(1 - p1),(1 - p)*(1 - p0)^8*p0,(1 - p)*(1 - p0)^7*p0*(1 - p1),0,(1 - p)*(1 - p0)^7*p0*(1 - p1),0,0,0
5*p*(1 - p0)^6*p0*(1 - p1)^2 + 10*(1 - p)*(1 - p0)^5*p0^2*(1 - p1)^2 + p*(1 - p0)^7*(1 - p1)*p1 + 5*(1 - p)*(1 - p0)^6*p0*(1 - p1)*p1,p*(1 - p0)^7*p0*(1 - p1) + 6*(1 - p)*(1 - p0)^6*p0^2*(1 - p1),p*(1 - p0)^6*p0*(1 - p1)^2 + 6*(1 - p)*(1 - p0)^5*p0^2*(1 - p1)^2,(1 - p)*(1 - p0)^7*p0*p1,p*(1 - p0)^6*p0*(1 - p1)^2 + 5*(1 - p)*(1 - p0)^5*p0^2*(1 - p1)^2 + (1 - p)*(1 - p0)^6*p0*(1 - p1)*p1,(1 - p)*(1 - p0)^6*p0^2*(1 - p1),(1 - p)*(1 - p0)^6*p0*(1 - p1)*p1,0
6*p*(1 - p0)^4*p0^2*(1 - p1)^3 + 4*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^3 + 8*p*(1 - p0)^5*p0*(1 - p1)^2*p1 + 12*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + p*(1 - p0)^6*(1 - p1)*p1^2 + 4*(1 - p)*(1 - p0)^5*p0*(1 - p1)*p1^2,5*p*(1 - p0)^5*p0^2*(1 - p1)^2 + 10*(1 - p)*(1 - p0)^4*p0^3*(1 - p1)^2 + p*(1 - p0)^6*p0*(1 - p1)*p1 + 5*(1 - p)*(1 - p0)^5*p0^2*(1 - p1)*p1,5*p*(1 - p0)^4*p0^2*(1 - p1)^3 + 10*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^3 + p*(1 - p0)^5*p0*(1 - p1)^2*p1 + 5*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)^2*p1,p*(1 - p0)^6*p0*(1 - p1)*p1 + 6*(1 - p)*(1 - p0)^5*p0^2*(1 - p1)*p1,4*p*(1 - p0)^4*p0^2*(1 - p1)^3 + 6*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^3 + 2*p*(1 - p0)^5*p0*(1 - p1)^2*p1 + 8*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + (1 - p)*(1 - p0)^5*p0*(1 - p1)*p1^2,p*(1 - p0)^5*p0^2*(1 - p1)^2 + 5*(1 - p)*(1 - p0)^4*p0^3*(1 - p1)^2 + (1 - p)*(1 - p0)^5*p0^2*(1 - p1)*p1,p*(1 - p0)^5*p0*(1 - p1)^2*p1 + 5*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + (1 - p)*(1 - p0)^5*p0*(1 - p1)*p1^2,(1 - p)*(1 - p0)^6*p0*p1^2
p*(1 - p0)^2*p0^3*(1 - p1)^4 + 9*p*(1 - p0)^3*p0^2*(1 - p1)^3*p1 + 3*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 9*p*(1 - p0)^4*p0*(1 - p1)^2*p1^2 + 9*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + p*(1 - p0)^5*(1 - p1)*p1^3 + 3*(1 - p)*(1 - p0)^4*p0*(1 - p1)*p1^3,6*p*(1 - p0)^3*p0^3*(1 - p1)^3 + 4*(1 - p)*(1 - p0)^2*p0^4*(1 - p1)^3 + 8*p*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + 12*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^2*p1 + p*(1 - p0)^5*p0*(1 - p1)*p1^2 + 4*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)*p1^2,6*p*(1 - p0)^2*p0^3*(1 - p1)^4 + 4*(1 - p)*(1 - p0)*p0^4*(1 - p1)^4 + 8*p*(1 - p0)^3*p0^2*(1 - p1)^3*p1 + 12*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + p*(1 - p0)^4*p0*(1 - p1)^2*p1^2 + 4*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2,5*p*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + 10*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^2*p1 + p*(1 - p0)^5*p0*(1 - p1)*p1^2 + 5*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)*p1^2,3*p*(1 - p0)^2*p0^3*(1 - p1)^4 + (1 - p)*(1 - p0)*p0^4*(1 - p1)^4 + 9*p*(1 - p0)^3*p0^2*(1 - p1)^3*p1 + 9*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 3*p*(1 - p0)^4*p0*(1 - p1)^2*p1^2 + 9*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + (1 - p)*(1 - p0)^4*p0*(1 - p1)*p1^3,4*p*(1 - p0)^3*p0^3*(1 - p1)^3 + 6*(1 - p)*(1 - p0)^2*p0^4*(1 - p1)^3 + 2*p*(1 - p0)^4*p0^2*(1 - p1)^2*p1 + 8*(1 - p)*(1 - p0)^3*p0^3*(1 - p1)^2*p1 + (1 - p)*(1 - p0)^4*p0^2*(1 - p1)*p1^2,4*p*(1 - p0)^3*p0^2*(1 - p1)^3*p1 + 6*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 2*p*(1 - p0)^4*p0*(1 - p1)^2*p1^2 + 8*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + (1 - p)*(1 - p0)^4*p0*(1 - p1)*p1^3,p*(1 - p0)^5*p0*(1 - p1)*p1^2 + 5*(1 - p)*(1 - p0)^4*p0^2*(1 - p1)*p1^2 + (1 - p)*(1 - p0)^5*p0*p1^3
6*p*(1 - p0)^2*p0^2*(1 - p1)^3*p1^2 + 8*p*(1 - p0)^3*p0*(1 - p1)^2*p1^3 + 4*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + p*(1 - p0)^4*(1 - p1)*p1^4 + 2*(1 - p)*(1 - p0)^3*p0*(1 - p1)*p1^4,p*(1 - p0)*p0^4*(1 - p1)^4 + 9*p*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 3*(1 - p)*(1 - p0)*p0^4*(1 - p1)^3*p1 + 9*p*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + 9*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^2*p1^2 + p*(1 - p0)^4*p0*(1 - p1)*p1^3 + 3*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)*p1^3,p*p0^4*(1 - p1)^5 + 9*p*(1 - p0)*p0^3*(1 - p1)^4*p1 + 3*(1 - p)*p0^4*(1 - p1)^4*p1 + 9*p*(1 - p0)^2*p0^2*(1 - p1)^3*p1^2 + 9*(1 - p)*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + p*(1 - p0)^3*p0*(1 - p1)^2*p1^3 + 3*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3,6*p*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 4*(1 - p)*(1 - p0)*p0^4*(1 - p1)^3*p1 + 8*p*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + 12*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^2*p1^2 + p*(1 - p0)^4*p0*(1 - p1)*p1^3 + 4*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)*p1^3,4*p*(1 - p0)*p0^3*(1 - p1)^4*p1 + 12*p*(1 - p0)^2*p0^2*(1 - p1)^3*p1^2 + 6*(1 - p)*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + 4*p*(1 - p0)^3*p0*(1 - p1)^2*p1^3 + 8*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + (1 - p)*(1 - p0)^3*p0*(1 - p1)*p1^4,3*p*(1 - p0)*p0^4*(1 - p1)^4 + (1 - p)*p0^5*(1 - p1)^4 + 9*p*(1 - p0)^2*p0^3*(1 - p1)^3*p1 + 9*(1 - p)*(1 - p0)*p0^4*(1 - p1)^3*p1 + 3*p*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + 9*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^2*p1^2 + (1 - p)*(1 - p0)^3*p0^2*(1 - p1)*p1^3,3*p*(1 - p0)*p0^3*(1 - p1)^4*p1 + (1 - p)*p0^4*(1 - p1)^4*p1 + 9*p*(1 - p0)^2*p0^2*(1 - p1)^3*p1^2 + 9*(1 - p)*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + 3*p*(1 - p0)^3*p0*(1 - p1)^2*p1^3 + 9*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + (1 - p)*(1 - p0)^3*p0*(1 - p1)*p1^4,4*p*(1 - p0)^3*p0^2*(1 - p1)^2*p1^2 + 6*(1 - p)*(1 - p0)^2*p0^3*(1 - p1)^2*p1^2 + 2*p*(1 - p0)^4*p0*(1 - p1)*p1^3 + 8*(1 - p)*(1 - p0)^3*p0^2*(1 - p1)*p1^3 + (1 - p)*(1 - p0)^4*p0*p1^4
5*p*(1 - p0)^2*p0*(1 - p1)^2*p1^4 + p*(1 - p0)^3*(1 - p1)*p1^5 + (1 - p)*(1 - p0)^2*p0*(1 - p1)*p1^5,6*p*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + 8*p*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + 4*(1 - p)*(1 - p0)*p0^3*(1 - p1)^2*p1^3 + p*(1 - p0)^3*p0*(1 - p1)*p1^4 + 2*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)*p1^4,6*p*p0^3*(1 - p1)^4*p1^2 + 8*p*(1 - p0)*p0^2*(1 - p1)^3*p1^3 + 4*(1 - p)*p0^3*(1 - p1)^3*p1^3 + p*(1 - p0)^2*p0*(1 - p1)^2*p1^4 + 2*(1 - p)*(1 - p0)*p0^2*(1 - p1)^2*p1^4,p*p0^4*(1 - p1)^4*p1 + 9*p*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + 3*(1 - p)*p0^4*(1 - p1)^3*p1^2 + 9*p*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + 9*(1 - p)*(1 - p0)*p0^3*(1 - p1)^2*p1^3 + p*(1 - p0)^3*p0*(1 - p1)*p1^4 + 3*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)*p1^4,10*p*(1 - p0)*p0^2*(1 - p1)^3*p1^3 + 5*p*(1 - p0)^2*p0*(1 - p1)^2*p1^4 + 5*(1 - p)*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + (1 - p)*(1 - p0)^2*p0*(1 - p1)*p1^5,4*p*p0^4*(1 - p1)^4*p1 + 12*p*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + 6*(1 - p)*p0^4*(1 - p1)^3*p1^2 + 4*p*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + 8*(1 - p)*(1 - p0)*p0^3*(1 - p1)^2*p1^3 + (1 - p)*(1 - p0)^2*p0^2*(1 - p1)*p1^4,4*p*p0^3*(1 - p1)^4*p1^2 + 12*p*(1 - p0)*p0^2*(1 - p1)^3*p1^3 + 6*(1 - p)*p0^3*(1 - p1)^3*p1^3 + 4*p*(1 - p0)^2*p0*(1 - p1)^2*p1^4 + 8*(1 - p)*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + (1 - p)*(1 - p0)^2*p0*(1 - p1)*p1^5,3*p*(1 - p0)*p0^3*(1 - p1)^3*p1^2 + (1 - p)*p0^4*(1 - p1)^3*p1^2 + 9*p*(1 - p0)^2*p0^2*(1 - p1)^2*p1^3 + 9*(1 - p)*(1 - p0)*p0^3*(1 - p1)^2*p1^3 + 3*p*(1 - p0)^3*p0*(1 - p1)*p1^4 + 9*(1 - p)*(1 - p0)^2*p0^2*(1 - p1)*p1^4 + (1 - p)*(1 - p0)^3*p0*p1^5
p*(1 - p0)^2*(1 - p1)*p1^6,5*p*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + p*(1 - p0)^2*p0*(1 - p1)*p1^5 + (1 - p)*(1 - p0)*p0^2*(1 - p1)*p1^5,5*p*p0^2*(1 - p1)^3*p1^4 + p*(1 - p0)*p0*(1 - p1)^2*p1^5 + (1 - p)*p0^2*(1 - p1)^2*p1^5,6*p*p0^3*(1 - p1)^3*p1^3 + 8*p*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + 4*(1 - p)*p0^3*(1 - p1)^2*p1^4 + p*(1 - p0)^2*p0*(1 - p1)*p1^5 + 2*(1 - p)*(1 - p0)*p0^2*(1 - p1)*p1^5,6*p*(1 - p0)*p0*(1 - p1)^2*p1^5 + (1 - p)*(1 - p0)*p0*(1 - p1)*p1^6,10*p*p0^3*(1 - p1)^3*p1^3 + 5*p*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + 5*(1 - p)*p0^3*(1 - p1)^2*p1^4 + (1 - p)*(1 - p0)*p0^2*(1 - p1)*p1^5,10*p*p0^2*(1 - p1)^3*p1^4 + 5*p*(1 - p0)*p0*(1 - p1)^2*p1^5 + 5*(1 - p)*p0^2*(1 - p1)^2*p1^5 + (1 - p)*(1 - p0)*p0*(1 - p1)*p1^6,4*p*p0^3*(1 - p1)^3*p1^3 + 12*p*(1 - p0)*p0^2*(1 - p1)^2*p1^4 + 6*(1 - p)*p0^3*(1 - p1)^2*p1^4 + 4*p*(1 - p0)^2*p0*(1 - p1)*p1^5 + 8*(1 - p)*(1 - p0)*p0^2*(1 - p1)*p1^5 + (1 - p)*(1 - p0)^2*p0*p1^6
0,p*(1 - p0)*p0*(1 - p1)*p1^6,p*p0*(1 - p1)^2*p1^6,5*p*p0^2*(1 - p1)^2*p1^5 + p*(1 - p0)*p0*(1 - p1)*p1^6 + (1 - p)*p0^2*(1 - p1)*p1^6,p*(1 - p0)*(1 - p1)*p1^7,6*p*p0^2*(1 - p1)^2*p1^5 + (1 - p)*p0^2*(1 - p1)*p1^6,6*p*p0*(1 - p1)^2*p1^6 + (1 - p)*p0*(1 - p1)*p1^7,10*p*p0^2*(1 - p1)^2*p1^5 + 5*p*(1 - p0)*p0*(1 - p1)*p1^6 + 5*(1 - p)*p0^2*(1 - p1)*p1^6 + (1 - p)*(1 - p0)*p0*p1^7
0,0,0,p*p0*(1 - p1)*p1^7,0,p*p0*(1 - p1)*p1^7,p*(1 - p1)*p1^8,6*p*p0*(1 - p1)*p1^7 + (1 - p)*p0*p1^8
0,0,0,0,0,0,0,p*p1^9
